customer_id,first_name,last_name,email,country,age_band,acquisition_channel,employment_status,signup_date,is_active,created_at,updated_at
cust_xaji0y6d,First_0,Last_0,user_0@example.com,UK,18-24,organic,self_employed,2024-05-14,true,2024-05-14,2024-05-14
cust_zzpqk51f,First_1,Last_1,user_1@example.com,UK,25-34,email,employed,2024-05-15,true,2024-05-15,2024-05-15
cust_d4v30t9n,First_2,Last_2,user_2@example.com,FR,35-44,referral,self_employed,2023-08-24,true,2023-08-24,2023-08-24
cust_bikcidkw,First_3,Last_3,user_3@example.com,UK,25-34,paid_social,self_employed,2024-01-18,true,2024-01-18,2024-01-18
cust_cwtiqj7y,First_4,Last_4,user_4@example.com,US,45-54,referral,employed,2023-03-26,true,2023-03-26,2023-03-26
cust_ljh75lxo,First_5,Last_5,user_5@example.com,UK,18-24,paid_social,employed,2024-07-28,true,2024-07-28,2024-07-28
cust_pvn9er14,First_6,Last_6,user_6@example.com,US,45-54,paid_search,employed,2022-11-10,true,2022-11-10,2022-11-10
cust_9t84azyt,First_7,Last_7,user_7@example.com,DE,25-34,organic,employed,2023-07-01,true,2023-07-01,2023-07-01
cust_zz81sdw4,First_8,Last_8,user_8@example.com,US,25-34,referral,employed,2024-11-05,true,2024-11-05,2024-11-05
cust_tala753l,First_9,Last_9,user_9@example.com,UK,35-44,organic,self_employed,2022-04-29,true,2022-04-29,2022-04-29
cust_9tex8fsv,First_10,Last_10,user_10@example.com,AU,45-54,paid_social,self_employed,2023-03-10,true,2023-03-10,2023-03-10
cust_yn6qicat,First_11,Last_11,user_11@example.com,UK,35-44,organic,employed,2023-03-28,true,2023-03-28,2023-03-28
cust_lskrt05u,First_12,Last_12,user_12@example.com,DE,45-54,organic,employed,2023-05-13,true,2023-05-13,2023-05-13
cust_pq0y9dom,First_13,Last_13,user_13@example.com,UK,25-34,paid_search,employed,2022-08-12,true,2022-08-12,2022-08-12
cust_i7p5tb94,First_14,Last_14,user_14@example.com,AU,45-54,organic,employed,2022-07-11,true,2022-07-11,2022-07-11
cust_ocn9j2qp,First_15,Last_15,user_15@example.com,UK,25-34,email,self_employed,2024-09-23,true,2024-09-23,2024-09-23
cust_0cvs4f8c,First_16,Last_16,user_16@example.com,UK,18-24,referral,employed,2023-01-16,false,2023-01-16,2023-01-16
cust_uubcxulj,First_17,Last_17,user_17@example.com,UK,25-34,paid_social,employed,2023-10-06,true,2023-10-06,2023-10-06
cust_1cq99chj,First_18,Last_18,user_18@example.com,FR,45-54,paid_search,employed,2023-12-16,true,2023-12-16,2023-12-16
cust_zw9xa3kx,First_19,Last_19,user_19@example.com,UK,45-54,paid_social,employed,2022-10-03,true,2022-10-03,2022-10-03
cust_hmy4sj6b,First_20,Last_20,user_20@example.com,FR,18-24,paid_search,employed,2024-05-17,false,2024-05-17,2024-05-17
cust_fpzue8yf,First_21,Last_21,user_21@example.com,FR,35-44,organic,employed,2022-03-15,true,2022-03-15,2022-03-15
cust_6246hid2,First_22,Last_22,user_22@example.com,AU,35-44,email,employed,2024-04-12,true,2024-04-12,2024-04-12
cust_2gog72oy,First_23,Last_23,user_23@example.com,UK,45-54,organic,retired,2023-05-24,false,2023-05-24,2023-05-24
cust_i3qk2iag,First_24,Last_24,user_24@example.com,UK,18-24,referral,employed,2023-11-04,true,2023-11-04,2023-11-04
cust_y4la5ju9,First_25,Last_25,user_25@example.com,UK,25-34,paid_social,employed,2022-03-20,true,2022-03-20,2022-03-20
cust_snujza7t,First_26,Last_26,user_26@example.com,UK,18-24,paid_social,employed,2023-02-08,true,2023-02-08,2023-02-08
cust_4zklooke,First_27,Last_27,user_27@example.com,US,25-34,paid_social,employed,2024-05-11,true,2024-05-11,2024-05-11
cust_o4kh2vlp,First_28,Last_28,user_28@example.com,US,45-54,email,self_employed,2023-03-14,true,2023-03-14,2023-03-14
cust_kxwd8il3,First_29,Last_29,user_29@example.com,UK,25-34,paid_search,student,2022-10-29,true,2022-10-29,2022-10-29
cust_owgzrixa,First_30,Last_30,user_30@example.com,DE,25-34,referral,self_employed,2022-08-07,true,2022-08-07,2022-08-07
cust_u7eeqtul,First_31,Last_31,user_31@example.com,US,35-44,paid_search,student,2024-06-25,true,2024-06-25,2024-06-25
cust_60rjiw1s,First_32,Last_32,user_32@example.com,UK,18-24,organic,employed,2023-05-05,true,2023-05-05,2023-05-05
cust_teiyzcot,First_33,Last_33,user_33@example.com,UK,45-54,paid_search,student,2024-05-01,false,2024-05-01,2024-05-01
cust_a5ur7ko6,First_34,Last_34,user_34@example.com,US,35-44,referral,retired,2024-05-08,true,2024-05-08,2024-05-08
cust_jrny2047,First_35,Last_35,user_35@example.com,UK,25-34,paid_social,employed,2024-12-29,true,2024-12-29,2024-12-29
cust_eqbnhl1n,First_36,Last_36,user_36@example.com,UK,18-24,organic,employed,2024-05-13,false,2024-05-13,2024-05-13
cust_mx2x18ha,First_37,Last_37,user_37@example.com,UK,25-34,organic,retired,2022-11-09,true,2022-11-09,2022-11-09
cust_jnv8z2fl,First_38,Last_38,user_38@example.com,AU,35-44,email,employed,2022-02-22,false,2022-02-22,2022-02-22
cust_hv3izky2,First_39,Last_39,user_39@example.com,UK,25-34,paid_search,employed,2022-03-26,true,2022-03-26,2022-03-26
